measurement_index,measurement_time,measurement_type,data_index,F1,F2,F3,F4,F5,F6,F7,F8
5,2025-10-05 15:42:07,LED+UV,2,29,38,28,23,15,14,15,9
5,2025-10-05 15:42:07,LED+UV,3,29,38,28,23,15,14,15,9
5,2025-10-05 15:42:07,LED+UV,4,0,0,0,0,0,0,0,0
6,2025-10-05 15:43:08,LED Only,0,0,0,0,0,0,0,0,0
6,2025-10-05 15:43:08,LED Only,1,0,0,0,0,0,0,0,0
6,2025-10-05 15:43:08,LED Only,2,7,49,27,53,86,86,70,41
6,2025-10-05 15:43:08,LED Only,3,7,49,27,52,86,86,70,41
6,2025-10-05 15:43:08,LED Only,4,7,49,27,52,86,86,70,41
6,2025-10-05 15:43:08,UV Only,0,7,49,27,52,86,86,70,41
6,2025-10-05 15:43:08,UV Only,1,7,49,27,52,86,86,70,41
6,2025-10-05 15:43:08,UV Only,2,7,49,27,52,86,86,70,41
6,2025-10-05 15:43:08,UV Only,3,0,0,0,0,0,0,0,0
6,2025-10-05 15:43:08,UV Only,4,0,0,0,0,0,0,0,0
6,2025-10-05 15:43:08,LED+UV,0,31,39,30,24,14,14,15,8
6,2025-10-05 15:43:08,LED+UV,1,31,39,30,24,15,13,15,8
6,2025-10-05 15:43:08,LED+UV,2,31,39,30,24,15,13,15,8
6,2025-10-05 15:43:08,LED+UV,3,31,39,30,24,15,13,15,8
6,2025-10-05 15:43:08,LED+UV,4,0,0,0,0,0,0,0,0
7,2025-10-05 15:44:08,LED Only,0,0,0,0,0,0,0,0,0
7,2025-10-05 15:44:08,LED Only,1,0,0,0,0,0,0,0,0
7,2025-10-05 15:44:08,LED Only,2,0,0,0,0,0,0,0,0
7,2025-10-05 15:44:08,LED Only,3,7,49,27,52,86,86,70,40
7,2025-10-05 15:44:08,LED Only,4,7,49,27,52,86,86,70,40
7,2025-10-05 15:44:08,UV Only,0,7,49,27,52,86,86,70,40
7,2025-10-05 15:44:08,UV Only,1,7,49,27,52,86,86,70,40
7,2025-10-05 15:44:08,UV Only,2,7,49,27,52,86,86,70,40
7,2025-10-05 15:44:08,UV Only,3,7,49,27,52,86,86,70,40
7,2025-10-05 15:44:08,UV Only,4,7,49,27,52,86,86,70,40
7,2025-10-05 15:44:08,LED+UV,0,0,0,0,0,0,0,0,0
7,2025-10-05 15:44:08,LED+UV,1,0,0,0,0,0,0,0,0
7,2025-10-05 15:44:08,LED+UV,2,0,0,0,0,0,0,0,0
7,2025-10-05 15:44:08,LED+UV,3,30,38,29,23,15,14,15,9
7,2025-10-05 15:44:08,LED+UV,4,30,38,29,23,15,14,15,9
8,2025-10-05 15:45:07,LED Only,0,0,0,0,0,0,0,0,0
8,2025-10-05 15:45:07,LED Only,1,0,0,0,0,0,0,0,0
8,2025-10-05 15:45:07,LED Only,2,7,49,27,52,85,85,69,40
8,2025-10-05 15:45:07,LED Only,3,7,49,27,52,86,85,70,40
8,2025-10-05 15:45:07,LED Only,4,7,49,27,52,86,85,69,40
8,2025-10-05 15:45:07,UV Only,0,7,49,27,52,85,85,69,41
8,2025-10-05 15:45:07,UV Only,1,7,49,27,52,85,85,69,41
8,2025-10-05 15:45:07,UV Only,2,0,0,0,0,0,0,0,0
8,2025-10-05 15:45:07,UV Only,3,0,0,0,0,0,0,0,0
8,2025-10-05 15:45:07,UV Only,4,0,0,0,0,0,0,0,0
8,2025-10-05 15:45:07,LED+UV,0,31,39,29,24,15,15,15,9
8,2025-10-05 15:45:07,LED+UV,1,31,40,30,24,15,14,15,9
8,2025-10-05 15:45:07,LED+UV,2,31,40,30,24,15,14,15,9
8,2025-10-05 15:45:07,LED+UV,3,31,40,30,24,15,14,15,9
8,2025-10-05 15:45:07,LED+UV,4,31,40,30,24,15,15,15,9
9,2025-10-05 15:46:07,LED Only,0,29,38,28,23,15,15,15,9
9,2025-10-05 15:46:07,LED Only,1,0,0,0,0,0,0,0,0
9,2025-10-05 15:46:07,LED Only,2,7,49,27,52,85,85,70,40
9,2025-10-05 15:46:07,LED Only,3,7,49,27,52,85,85,69,40
9,2025-10-05 15:46:07,LED Only,4,7,49,27,52,85,85,69,40
9,2025-10-05 15:46:07,UV Only,0,7,49,27,52,85,85,69,40
9,2025-10-05 15:46:07,UV Only,1,7,49,27,52,85,85,69,40
9,2025-10-05 15:46:07,UV Only,2,7,49,27,52,85,85,69,40
9,2025-10-05 15:46:07,UV Only,3,0,0,0,0,0,0,0,0
9,2025-10-05 15:46:07,UV Only,4,0,0,0,0,0,0,0,0
9,2025-10-05 15:46:07,LED+UV,0,31,39,30,24,14,13,14,8
9,2025-10-05 15:46:07,LED+UV,1,27,35,26,21,14,14,14,8
9,2025-10-05 15:46:07,LED+UV,2,27,35,26,21,14,14,14,8
9,2025-10-05 15:46:07,LED+UV,3,27,35,26,21,14,14,14,8
9,2025-10-05 15:46:07,LED+UV,4,0,0,0,0,0,0,0,0
10,2025-10-05 15:47:08,LED Only,0,0,0,0,0,0,0,0,0
10,2025-10-05 15:47:08,LED Only,1,0,0,0,0,0,0,0,0
10,2025-10-05 15:47:08,LED Only,2,7,49,27,52,85,85,69,40
10,2025-10-05 15:47:08,LED Only,3,7,49,27,52,85,85,69,40
10,2025-10-05 15:47:08,LED Only,4,7,49,27,52,85,85,69,40
10,2025-10-05 15:47:08,UV Only,0,7,49,27,52,85,85,69,40
10,2025-10-05 15:47:08,UV Only,1,7,49,27,52,85,85,69,40
10,2025-10-05 15:47:08,UV Only,2,7,49,27,52,85,85,69,40
10,2025-10-05 15:47:08,UV Only,3,7,49,27,52,85,85,69,40
10,2025-10-05 15:47:08,UV Only,4,7,49,27,52,85,85,69,40
10,2025-10-05 15:47:08,LED+UV,0,0,0,0,0,0,0,0,0
10,2025-10-05 15:47:08,LED+UV,1,26,35,25,21,15,14,15,9
10,2025-10-05 15:47:08,LED+UV,2,26,35,25,21,15,14,15,9
10,2025-10-05 15:47:08,LED+UV,3,26,35,25,21,15,14,15,9
10,2025-10-05 15:47:08,LED+UV,4,31,40,29,24,15,14,15,9
11,2025-10-05 15:48:08,LED Only,0,31,39,29,24,15,14,15,9
11,2025-10-05 15:48:08,LED Only,1,30,39,28,23,15,14,15,9
11,2025-10-05 15:48:08,LED Only,2,32,40,30,24,15,14,15,9
11,2025-10-05 15:48:08,LED Only,3,37,87,55,74,100,99,84,49
11,2025-10-05 15:48:08,LED Only,4,7,48,27,52,85,84,69,40
11,2025-10-05 15:48:08,UV Only,0,7,48,27,52,86,84,69,40
11,2025-10-05 15:48:08,UV Only,1,7,48,27,52,86,84,69,40
11,2025-10-05 15:48:08,UV Only,2,7,48,27,52,86,84,69,40
11,2025-10-05 15:48:08,UV Only,3,0,0,0,0,0,0,0,0
11,2025-10-05 15:48:08,UV Only,4,0,0,0,0,0,0,0,0
11,2025-10-05 15:48:08,LED+UV,0,0,0,0,0,0,0,0,0
11,2025-10-05 15:48:08,LED+UV,1,0,0,0,0,0,0,0,0
11,2025-10-05 15:48:08,LED+UV,2,0,0,0,0,0,0,0,0
11,2025-10-05 15:48:08,LED+UV,3,0,0,0,0,0,0,0,0
11,2025-10-05 15:48:08,LED+UV,4,0,0,0,0,0,0,0,0
12,2025-10-05 15:50:09,LED Only,0,0,0,0,0,0,0,0,0
12,2025-10-05 15:50:09,LED Only,1,0,0,0,0,0,0,0,0
12,2025-10-05 15:50:09,LED Only,2,7,48,26,51,85,83,68,39
12,2025-10-05 15:50:09,LED Only,3,7,48,26,51,84,83,67,39
12,2025-10-05 15:50:09,LED Only,4,7,48,26,51,84,83,68,39
12,2025-10-05 15:50:09,UV Only,0,7,48,26,51,83,83,68,39
12,2025-10-05 15:50:09,UV Only,1,7,48,26,51,83,83,68,39
12,2025-10-05 15:50:09,UV Only,2,0,0,0,0,0,0,0,0
12,2025-10-05 15:50:09,UV Only,3,0,0,0,0,0,0,0,0
12,2025-10-05 15:50:09,UV Only,4,0,0,0,0,0,0,0,0
12,2025-10-05 15:50:09,LED+UV,0,32,41,30,24,14,13,15,8
12,2025-10-05 15:50:09,LED+UV,1,32,41,30,24,14,13,15,8
12,2025-10-05 15:50:09,LED+UV,2,32,41,30,24,14,13,15,8
12,2025-10-05 15:50:09,LED+UV,3,0,0,0,0,0,0,0,0
12,2025-10-05 15:50:09,LED+UV,4,0,0,0,0,0,0,0,0
13,2025-10-05 15:51:08,LED Only,0,0,0,0,0,0,0,0,0
13,2025-10-05 15:51:08,LED Only,1,0,0,0,0,0,0,0,0
13,2025-10-05 15:51:08,LED Only,2,0,0,0,0,0,0,0,0
13,2025-10-05 15:51:08,LED Only,3,7,47,26,51,84,83,67,39
13,2025-10-05 15:51:08,LED Only,4,7,47,26,51,84,83,67,39
13,2025-10-05 15:51:08,UV Only,0,7,47,26,51,84,83,67,39
13,2025-10-05 15:51:08,UV Only,1,7,47,26,51,84,83,67,39
13,2025-10-05 15:51:08,UV Only,2,0,0,0,0,0,0,0,0
13,2025-10-05 15:51:08,UV Only,3,0,0,0,0,0,0,0,0
13,2025-10-05 15:51:08,UV Only,4,0,0,0,0,0,0,0,0
13,2025-10-05 15:51:08,LED+UV,0,0,0,0,0,0,0,0,0
13,2025-10-05 15:51:08,LED+UV,1,0,0,0,0,0,0,0,0
13,2025-10-05 15:51:08,LED+UV,2,0,0,0,0,0,0,0,0
13,2025-10-05 15:51:08,LED+UV,3,0,0,0,0,0,0,0,0
13,2025-10-05 15:51:08,LED+UV,4,31,40,30,24,15,15,16,9
14,2025-10-05 15:52:08,LED Only,0,0,0,0,0,0,0,0,0
14,2025-10-05 15:52:08,LED Only,1,0,0,0,0,0,0,0,0
14,2025-10-05 15:52:08,LED Only,2,7,47,26,51,83,82,67,39
14,2025-10-05 15:52:08,LED Only,3,7,47,26,51,84,82,67,39
14,2025-10-05 15:52:08,LED Only,4,7,47,26,51,84,82,67,39
14,2025-10-05 15:52:08,UV Only,0,7,47,26,51,84,82,67,39
14,2025-10-05 15:52:08,UV Only,1,7,47,26,51,84,82,67,39
14,2025-10-05 15:52:08,UV Only,2,0,0,0,0,0,0,0,0
14,2025-10-05 15:52:08,UV Only,3,0,0,0,0,0,0,0,0
14,2025-10-05 15:52:08,UV Only,4,0,0,0,0,0,0,0,0
14,2025-10-05 15:52:08,LED+UV,0,32,41,30,24,15,14,15,9
14,2025-10-05 15:52:08,LED+UV,1,29,38,27,23,15,14,15,9
14,2025-10-05 15:52:08,LED+UV,2,29,38,27,23,15,14,15,9
14,2025-10-05 15:52:08,LED+UV,3,29,38,27,23,15,14,15,9
14,2025-10-05 15:52:08,LED+UV,4,0,0,0,0,0,0,0,0
15,2025-10-05 15:53:07,LED Only,0,30,39,28,23,14,14,15,8
15,2025-10-05 15:53:07,LED Only,1,0,0,0,0,0,0,0,0
15,2025-10-05 15:53:07,LED Only,2,7,47,26,51,83,82,66,39
15,2025-10-05 15:53:07,LED Only,3,7,47,26,51,83,82,67,39
15,2025-10-05 15:53:07,LED Only,4,7,47,26,51,82,82,66,39
15,2025-10-05 15:53:07,UV Only,0,7,47,26,51,83,82,67,39
15,2025-10-05 15:53:07,UV Only,1,7,47,26,51,83,82,67,39
15,2025-10-05 15:53:07,UV Only,2,7,47,26,51,83,82,67,39
15,2025-10-05 15:53:07,UV Only,3,0,0,0,0,0,0,0,0
15,2025-10-05 15:53:07,UV Only,4,0,0,0,0,0,0,0,0
15,2025-10-05 15:53:07,LED+UV,0,32,41,30,25,14,13,16,8
15,2025-10-05 15:53:07,LED+UV,1,30,39,28,23,15,15,16,9
15,2025-10-05 15:53:07,LED+UV,2,30,39,28,23,15,15,16,9
15,2025-10-05 15:53:07,LED+UV,3,30,39,28,23,15,15,16,9
15,2025-10-05 15:53:07,LED+UV,4,0,0,0,0,0,0,0,0
16,2025-10-05 15:54:09,LED Only,0,0,0,0,0,0,0,0,0
16,2025-10-05 15:54:09,LED Only,1,0,0,0,0,0,0,0,0
16,2025-10-05 15:54:09,LED Only,2,7,47,26,51,83,82,66,39
16,2025-10-05 15:54:09,LED Only,3,7,47,26,51,83,82,67,39
16,2025-10-05 15:54:09,LED Only,4,7,47,26,51,83,82,67,38
16,2025-10-05 15:54:09,UV Only,0,7,48,26,51,83,82,67,39
16,2025-10-05 15:54:09,UV Only,1,7,48,26,51,83,82,67,39
16,2025-10-05 15:54:09,UV Only,2,7,48,26,51,83,82,67,39
16,2025-10-05 15:54:09,UV Only,3,7,48,26,51,83,82,67,39
16,2025-10-05 15:54:09,UV Only,4,7,48,26,51,83,82,67,39
16,2025-10-05 15:54:09,LED+UV,0,30,39,28,23,15,15,15,9
16,2025-10-05 15:54:09,LED+UV,1,30,39,28,23,15,15,15,9
16,2025-10-05 15:54:09,LED+UV,2,30,39,28,23,15,15,15,9
16,2025-10-05 15:54:09,LED+UV,3,32,41,30,25,15,15,16,9
16,2025-10-05 15:54:09,LED+UV,4,32,41,30,25,15,15,16,9
17,2025-10-05 15:55:08,LED Only,0,0,0,0,0,0,0,0,0
17,2025-10-05 15:55:08,LED Only,1,0,0,0,0,0,0,0,0
17,2025-10-05 15:55:08,LED Only,2,0,0,0,0,0,0,0,0
17,2025-10-05 15:55:08,LED Only,3,0,0,0,0,0,0,0,0
17,2025-10-05 15:55:08,LED Only,4,0,0,0,0,0,0,0,0
17,2025-10-05 15:55:08,UV Only,0,0,0,0,0,0,0,0,0
17,2025-10-05 15:55:08,UV Only,1,0,0,0,0,0,0,0,0
17,2025-10-05 15:55:08,UV Only,2,0,0,0,0,0,0,0,0
17,2025-10-05 15:55:08,UV Only,3,0,0,0,0,0,0,0,0
17,2025-10-05 15:55:08,UV Only,4,0,0,0,0,0,0,0,0
17,2025-10-05 15:55:08,LED+UV,0,0,0,0,0,0,0,0,0
17,2025-10-05 15:55:08,LED+UV,1,0,0,0,0,0,0,0,0
17,2025-10-05 15:55:08,LED+UV,2,0,0,0,0,0,0,0,0
17,2025-10-05 15:55:08,LED+UV,3,0,0,0,0,0,0,0,0
17,2025-10-05 15:55:08,LED+UV,4,0,0,0,0,0,0,0,0
18,2025-10-05 15:57:09,LED Only,0,0,0,0,0,0,0,0,0
18,2025-10-05 15:57:09,LED Only,1,7,47,26,51,84,82,67,39
18,2025-10-05 15:57:09,LED Only,2,7,47,26,51,84,82,67,39
18,2025-10-05 15:57:09,LED Only,3,7,47,26,51,83,82,67,39
18,2025-10-05 15:57:09,LED Only,4,7,47,26,51,84,82,67,39
18,2025-10-05 15:57:09,UV Only,0,7,47,26,51,84,82,67,39
18,2025-10-05 15:57:09,UV Only,1,7,47,26,51,84,82,67,39
18,2025-10-05 15:57:09,UV Only,2,0,0,0,0,0,0,0,0
18,2025-10-05 15:57:09,UV Only,3,0,0,0,0,0,0,0,0
18,2025-10-05 15:57:09,UV Only,4,0,0,0,0,0,0,0,0
18,2025-10-05 15:57:09,LED+UV,0,32,42,30,25,14,15,15,8
18,2025-10-05 15:57:09,LED+UV,1,32,42,30,25,14,15,15,8
18,2025-10-05 15:57:09,LED+UV,2,32,42,30,25,14,15,15,8
18,2025-10-05 15:57:09,LED+UV,3,0,0,0,0,0,0,0,0
18,2025-10-05 15:57:09,LED+UV,4,0,0,0,0,0,0,0,0
19,2025-10-05 15:58:01,LED Only,0,0,0,0,0,0,0,0,0
19,2025-10-05 15:58:01,LED Only,1,0,0,0,0,0,0,0,0
19,2025-10-05 15:58:01,LED Only,2,7,47,26,51,83,82,66,39
19,2025-10-05 15:58:01,LED+UV,0,0,0,0,0,0,0,0,0
19,2025-10-05 15:58:01,LED+UV,1,7,47,26,51,83,82,66,39
19,2025-10-05 15:58:01,LED+UV,2,7,47,26,51,83,82,66,39
19,2025-10-05 15:58:01,LED+UV,3,7,47,26,51,83,82,66,39
20,2025-10-05 15:58:09,LED Only,0,0,0,0,0,0,0,0,0
20,2025-10-05 15:58:09,LED Only,1,0,0,0,0,0,0,0,0
20,2025-10-05 15:58:09,LED Only,2,7,47,26,51,83,82,66,39
20,2025-10-05 15:58:09,LED Only,3,39,88,56,74,98,97,82,48
20,2025-10-05 15:58:09,UV Only,0,37,86,54,73,98,97,82,48
20,2025-10-05 15:58:09,UV Only,1,37,86,54,73,98,97,82,48
20,2025-10-05 15:58:09,UV Only,2,37,86,54,73,98,97,82,48
20,2025-10-05 15:58:09,LED+UV,0,32,41,30,24,15,15,15,9
20,2025-10-05 15:58:09,LED+UV,1,32,41,30,24,15,15,15,9
20,2025-10-05 15:58:09,LED+UV,2,32,41,30,24,15,15,15,9
20,2025-10-05 15:58:09,LED+UV,3,0,0,0,0,0,0,0,0
20,2025-10-05 15:58:09,LED+UV,4,0,0,0,0,0,0,0,0
21,2025-10-05 15:59:08,LED Only,0,0,0,0,0,0,0,0,0
21,2025-10-05 15:59:08,LED Only,1,0,0,0,0,0,0,0,0
21,2025-10-05 15:59:08,LED Only,2,0,0,0,0,0,0,0,0
21,2025-10-05 15:59:08,LED Only,3,0,0,0,0,0,0,0,0
21,2025-10-05 15:59:08,LED Only,4,0,0,0,0,0,0,0,0
21,2025-10-05 15:59:08,UV Only,0,0,0,0,0,0,0,0,0
21,2025-10-05 15:59:08,UV Only,1,0,0,0,0,0,0,0,0
21,2025-10-05 15:59:08,UV Only,2,0,0,0,0,0,0,0,0
21,2025-10-05 15:59:08,UV Only,3,0,0,0,0,0,0,0,0
21,2025-10-05 15:59:08,UV Only,4,0,0,0,0,0,0,0,0
21,2025-10-05 15:59:08,LED+UV,0,32,41,30,24,15,14,15,9
21,2025-10-05 15:59:08,LED+UV,1,32,41,30,24,15,14,15,9
21,2025-10-05 15:59:08,LED+UV,2,32,41,30,24,15,14,15,9
21,2025-10-05 15:59:08,LED+UV,3,32,41,30,24,15,14,15,9
21,2025-10-05 15:59:08,LED+UV,4,30,39,28,23,15,14,15,9
22,2025-10-05 16:00:08,LED Only,0,30,40,28,23,14,14,14,8
22,2025-10-05 16:00:08,LED Only,1,0,0,0,0,0,0,0,0
22,2025-10-05 16:00:08,LED Only,2,7,47,26,51,83,82,66,39
22,2025-10-05 16:00:08,LED Only,3,7,47,26,51,82,82,66,39
22,2025-10-05 16:00:08,LED Only,4,7,47,26,51,83,82,66,39
22,2025-10-05 16:00:08,UV Only,0,7,47,26,50,83,82,66,38
22,2025-10-05 16:00:08,UV Only,1,7,47,26,50,83,82,66,38
22,2025-10-05 16:00:08,UV Only,2,0,0,0,0,0,0,0,0
22,2025-10-05 16:00:08,UV Only,3,0,0,0,0,0,0,0,0
22,2025-10-05 16:00:08,UV Only,4,0,0,0,0,0,0,0,0
22,2025-10-05 16:00:08,LED+UV,0,30,39,28,23,15,14,15,9
22,2025-10-05 16:00:08,LED+UV,1,30,39,28,23,15,14,15,9
22,2025-10-05 16:00:08,LED+UV,2,30,39,28,23,15,14,15,9
22,2025-10-05 16:00:08,LED+UV,3,30,39,28,23,15,14,15,9
22,2025-10-05 16:00:08,LED+UV,4,0,0,0,0,0,0,0,0
23,2025-10-05 16:01:09,LED Only,0,0,0,0,0,0,0,0,0
23,2025-10-05 16:01:09,LED Only,1,0,0,0,0,0,0,0,0
23,2025-10-05 16:01:09,LED Only,2,7,47,26,50,83,82,66,39
23,2025-10-05 16:01:09,LED Only,3,7,47,26,50,83,82,66,39
23,2025-10-05 16:01:09,LED Only,4,7,47,26,51,83,82,66,39
23,2025-10-05 16:01:09,UV Only,0,7,47,26,51,82,82,66,38
23,2025-10-05 16:01:09,UV Only,1,7,47,26,51,82,82,66,38
23,2025-10-05 16:01:09,UV Only,2,7,46,26,51,83,82,66,39
23,2025-10-05 16:01:09,UV Only,3,7,46,26,51,83,82,66,39
23,2025-10-05 16:01:09,UV Only,4,7,46,26,51,83,82,66,39
23,2025-10-05 16:01:09,LED+UV,0,32,41,30,24,15,14,15,9
23,2025-10-05 16:01:09,LED+UV,1,32,41,30,24,15,14,15,9
23,2025-10-05 16:01:09,LED+UV,2,32,41,30,24,15,14,15,9
23,2025-10-05 16:01:09,LED+UV,3,32,41,30,25,15,14,16,9
23,2025-10-05 16:01:09,LED+UV,4,32,41,30,25,15,14,16,9
24,2025-10-05 16:02:08,LED Only,0,32,41,30,24,15,14,16,9
24,2025-10-05 16:02:08,LED Only,1,32,41,30,25,15,14,16,9
24,2025-10-05 16:02:08,LED Only,2,32,41,30,25,15,14,16,9
24,2025-10-05 16:02:08,LED Only,3,39,88,56,74,98,97,82,48
24,2025-10-05 16:02:08,LED Only,4,7,46,26,50,83,82,66,38
24,2025-10-05 16:02:08,UV Only,0,7,47,26,51,83,82,66,39
24,2025-10-05 16:02:08,UV Only,1,7,47,26,51,83,82,66,39
24,2025-10-05 16:02:08,UV Only,2,0,0,0,0,0,0,0,0
24,2025-10-05 16:02:08,UV Only,3,0,0,0,0,0,0,0,0
24,2025-10-05 16:02:08,UV Only,4,0,0,0,0,0,0,0,0
24,2025-10-05 16:02:08,LED+UV,0,0,0,0,0,0,0,0,0
24,2025-10-05 16:02:08,LED+UV,1,0,0,0,0,0,0,0,0
24,2025-10-05 16:02:08,LED+UV,2,0,0,0,0,0,0,0,0
